TIMESTAMP,POWER
20120101 1:00,0.2736781568
20120101 2:00,0.0867959455
20120101 3:00,0.0068114015
20120101 4:00,0.0186459868
20120101 5:00,0.0348118328
20120101 6:00,0.0219168973
20120101 7:00,0.01823263
20120101 8:00,0.0096419971
20120101 9:00,0.0055353869
20120101 10:00,0.01721721
20120101 11:00,0.3099636965
20120101 12:00,0.7259534165
20120101 13:00,0.7495956292
20120101 14:00,0.7055371841
20120101 15:00,0.8320603142
20120101 16:00,0.8691725675
20120101 17:00,0.8407138493
20120101 18:00,0.883595126
20120101 19:00,0.9623216275
20120101 20:00,0.9568401567
20120101 21:00,0.9211117501
20120101 22:00,0.9073541569
20120101 23:00,0.9187574135
20120102 0:00,0.8352323784
20120102 1:00,0.5826264333
20120102 2:00,0.3335969232
20120102 3:00,0.1485209015
20120102 4:00,0.1251033392
20120102 5:00,0.0620214946
20120102 6:00,0.0282520398
20120102 7:00,0.1159915172
20120102 8:00,0.2247582761
20120102 9:00,0.6598612559
20120102 10:00,0.7831763776
20120102 11:00,0.7209571906
20120102 12:00,0.6771593401
20120102 13:00,0.7255220876
20120102 14:00,0.7040544912
20120102 15:00,0.5362136516
20120102 16:00,0.3750314511
20120102 17:00,0.3867492182
20120102 18:00,0.573883038
20120102 19:00,0.3511556019
20120102 20:00,0.8087415981
20120102 21:00,0.5494859998
20120102 22:00,0.6702580784
20120102 23:00,0.6201071133
20120103 0:00,0.416996154
20120103 1:00,0.4460120053
20120103 2:00,0.5603321232
20120103 3:00,0.4095108012
20120103 4:00,0.2257736961
20120103 5:00,0.0456489702
20120103 6:00,0.0019140218
20120103 7:00,0.0762553467
20120103 8:00,0.4472970059
20120103 9:00,0.8594407103
20120103 10:00,0.6050106035
20120103 11:00,0.3749685489
20120103 12:00,0.2162125732
20120103 13:00,0.0067395133
20120103 14:00,0.1033392042
20120103 15:00,0.4187574135
20120103 16:00,0.8691815535
20120103 17:00,0.3652097337
20120103 18:00,0.2407803458
20120103 19:00,0.2092933396
20120103 20:00,0.2074601919
20120103 21:00,0.1492307969
20120103 22:00,0.1054958485
20120103 23:00,0.131582258
20120104 0:00,0.1134844182
20120104 1:00,0.1139337191
20120104 2:00,0.0962043061
20120104 3:00,0.0825275871
20120104 4:00,0.0547787642
20120104 5:00,0.0557402681
20120104 6:00,0.0773606269
20120104 7:00,0.0959976277
20120104 8:00,0.2333309371
20120104 9:00,0.3461863341
20120104 10:00,0.5128949355
20120104 11:00,0.4837712519
20120104 12:00,0.461054599
20120104 13:00,0.513649761
20120104 14:00,0.441806549
20120104 15:00,0.3736206463
20120104 16:00,0.4503702239
20120104 17:00,0.6373333094
20120104 18:00,0.5318464469
20120104 19:00,0.4674885878
20120104 20:00,0.21861184
20120104 21:00,0.1811401459
20120104 22:00,0.2376621976
20120104 23:00,0.1639229359
20120105 0:00,0.0877754214
20120105 1:00,0.0285485784
20120105 2:00,0
20120105 3:00,0
20120105 4:00,0
20120105 5:00,0.0185291686
20120105 6:00,0.030857985
20120105 7:00,0.2951277812
20120105 8:00,0.4049099601
20120105 9:00,0.6090093814
20120105 10:00,0.4263236404
20120105 11:00,0.6743646885
20120105 12:00,0.5551202329
20120105 13:00,0.4449336832
20120105 14:00,0.5994572445
20120105 15:00,0.7288738723
20120105 16:00,0.7976618382
20120105 17:00,0.68722368
20120105 18:00,0.617420294
20120105 19:00,0.7114230258
20120105 20:00,0.5110258438
20120105 21:00,0.4052154847
20120105 22:00,0.3939110744
20120105 23:00,0.3723356457
20120106 0:00,0.3219510442
20120106 1:00,0.3263362208
20120106 2:00,0.3233528629
20120106 3:00,0.2310664606
20120106 4:00,0.0487221883
20120106 5:00,0.0471945653
20120106 6:00,0.128535998
20120106 7:00,0.0981003558
20120106 8:00,0.0837586715
20120106 9:00,0.0143416843
20120106 10:00,0
20120106 11:00,0.0658675102
20120106 12:00,0.3220049603
20120106 13:00,0.61742928
20120106 14:00,0.665998706
20120106 15:00,0.7164372237
20120106 16:00,0.8603752561
20120106 17:00,0.9142913626
20120106 18:00,0.9709212465
20120106 19:00,0.984822616
20120106 20:00,0.9663563495
20120106 21:00,0.9746414579
20120106 22:00,0.939793681
20120106 23:00,0.9552047015
20120107 0:00,0.9174364689
20120107 1:00,0.9739225765
20120107 2:00,0.8880252327
20120107 3:00,0.8830649509
20120107 4:00,0.9745246397
20120107 5:00,0.9662934474
20120107 6:00,0.9695553718
20120107 7:00,0.9758096402
20120107 8:00,0.9707612954
20120107 9:00,0.8329319579
20120107 10:00,0.5545001977
20120107 11:00,0.3862010711
20120107 12:00,0.4523022177
20120107 13:00,0.2660580137
20120107 14:00,0.3310269221
20120107 15:00,0.2773534381
20120107 16:00,0.2817745588
20120107 17:00,0.4748571223
20120107 18:00,0.6392563172
20120107 19:00,0.4593652277
20120107 20:00,0.7767334028
20120107 21:00,0.6454746415
20120107 22:00,0.9176611193
20120107 23:00,0.9244365767
20120108 0:00,0.9490672514
20120108 1:00,0.9777955501
20120108 2:00,0.9911218145
20120108 3:00,0.9920743323
20120108 4:00,0.9948689839
20120108 5:00,0.9889921282
20120108 6:00,0.9925685633
20120108 7:00,0.9949768161
20120108 8:00,0.9900524783
20120108 9:00,0.9889921282
20120108 10:00,0.9850562525
20120108 11:00,0.9510082312
20120108 12:00,0.9884260091
20120108 13:00,0.9729161425
20120108 14:00,0.9555551562
20120108 15:00,0.9218486036
20120108 16:00,0.8772869415
20120108 17:00,0.8461863341
20120108 18:00,0.8502749721
20120108 19:00,0.674086122
20120108 20:00,0.5401315553
20120108 21:00,0.4464882643
20120108 22:00,0.4250566119
20120108 23:00,0.5010783221
20120109 0:00,0.3880521908
20120109 1:00,0.3084270875
20120109 2:00,0.3216994357
20120109 3:00,0.4738057582
20120109 4:00,0.5727867438
20120109 5:00,0.7835897344
20120109 6:00,0.8683728119
20120109 7:00,0.9034901693
20120109 8:00,0.9209230437
20120109 9:00,0.9300977679
20120109 10:00,0.8549836454
20120109 11:00,0.8663239999
20120109 12:00,0.7531990223
20120109 13:00,0.7281549908
20120109 14:00,0.5251338917
20120109 15:00,0.4062129327
20120109 16:00,0.5443010675
20120109 17:00,0.676611193
20120109 18:00,0.609818123
20120109 19:00,0.4557528486
20120109 20:00,0.2650965098
20120109 21:00,0.3103321232
20120109 22:00,0.26010927
20120109 23:00,0.2508806297
20120110 0:00,0.2640541318
20120110 1:00,0.3038981345
20120110 2:00,0.1758923116
20120110 3:00,0.3498616153
20120110 4:00,0.5018601057
20120110 5:00,0.8548668272
20120110 6:00,0.8611210956
20120110 7:00,0.9441968297
20120110 8:00,0.9814169153
20120110 9:00,0.9841127206
20120110 10:00,0.9883002049
20120110 11:00,0.9488515869
20120110 12:00,0.98278279
20120110 13:00,0.9712267711
20120110 14:00,0.9289205995
20120110 15:00,0.8802792854
20120110 16:00,0.9494895942
20120110 17:00,0.9582240035
20120110 18:00,0.9587541785
20120110 19:00,0.938742317
20120110 20:00,0.9721163869
20120110 21:00,0.978739082
20120110 22:00,0.978730096
20120110 23:00,0.9045864635
20120111 0:00,0.9140217821
20120111 1:00,0.8856529241
20120111 2:00,0.7854857841
20120111 3:00,0.7256119478
20120111 4:00,0.6456184177
20120111 5:00,0.6056755688
20120111 6:00,0.5664336293
20120111 7:00,0.5264728083
20120111 8:00,0.4796915999
20120111 9:00,0.3989881744
20120111 10:00,0.2724740304
20120111 11:00,0.3071151289
20120111 12:00,0.4844901334
20120111 13:00,0.603249344
20120111 14:00,0.4696811761
20120111 15:00,0.4655296359
20120111 16:00,0.397289817
20120111 17:00,0.652321987
20120111 18:00,0.8601775637
20120111 19:00,0.8668182308
20120111 20:00,0.8556486108
20120111 21:00,0.8043294634
20120111 22:00,0.7012598397
20120111 23:00,0.732800762
20120112 0:00,0.6154343841
20120112 1:00,0.21861184
20120112 2:00,0.0223572122
20120112 3:00,0.0011591963
20120112 4:00,0.016722979
20120112 5:00,0.0199040293
20120112 6:00,0.0197782251
20120112 7:00,0.0379838971
20120112 8:00,0.0383163797
20120112 9:00,0.0924301786
20120112 10:00,0.0928255634
20120112 11:00,0.0755454513
20120112 12:00,0.1567520937
20120112 13:00,0.4980949642
20120112 14:00,0.587065526
20120112 15:00,0.4699687287
20120112 16:00,0.3720480932
20120112 17:00,0.4566604364
20120112 18:00,0.4698429244
20120112 19:00,0.328951152
20120112 20:00,0.3055515618
20120112 21:00,0.3741777794
20120112 22:00,0.3016875741
20120112 23:00,0.3212411488
20120113 0:00,0.3401477301
20120113 1:00,0.3015617699
20120113 2:00,0.1547482118
20120113 3:00,0.008608605
20120113 4:00,0
20120113 5:00,0.0065238489
20120113 6:00,0.0392329535
20120113 7:00,0.0768304518
20120113 8:00,0.1190018331
20120113 9:00,0.2655188527
20120113 10:00,0.2628230473
20120113 11:00,0.1278440746
20120113 12:00,0.347183782
20120113 13:00,0.3601326336
20120113 14:00,0.3812407893
20120113 15:00,0.2981201251
20120113 16:00,0.2482746846
